scraped_comment,time,date,year
"<div class=""narrow""><blockquote>Good Evening house, please need help in confirming my CRS score and possible advice from everyone<br>Profile below<br>24yrs single<br>Bsc degree <br>Assuming an IELTS score of 8777<br>One year NYSC service as job experience<br><br>I calculated the CRS score and I got 404 (though I'm not sure if I did it right) <br><br>What is the added advantage if I go for a master's degree?<br>Or is it better if I start learning French for TEF? (I have no knowledge presently).<br>Which school in Nigeria can I get Msc in the shortest possible time?<br><br>Thanks<br><br>***I'm presently in the middle of NYSC</blockquote>Anyone to the rescue</div>",9:13pm,Feb-18,2019
"<div class=""narrow"">Am here ooo</div>",9:16pm,Feb-18,2019
"<div class=""narrow"">Booked</div>",9:16pm,Feb-18,2019
"<div class=""narrow"">Remember this moniker everyone... Part7 must favour me...</div>",9:16pm,Feb-18,2019
"<div class=""narrow"">This is reserved for my PPR testimony. Part 6 ITA Part 7 PPR. Amen!!!</div>",9:17pm,Feb-18,2019
"<div class=""narrow"">This space is reserved for my testimony</div>",9:18pm,Feb-18,2019
"<div class=""narrow"">@muyiroro you got a perfect adv for Manitoba.... Where is your cousin in Manitoba... do not waste time at all... hope you have an ee profile to sppedy processing?</div>",9:18pm,Feb-18,2019
"<div class=""narrow"">@johnnybravo1990 <br>If you're with family, just take drop/taxify/Uber. It won't cost more than #800 and will be cheaper than all the along you'll enter.<br>Even if you're alone, using keke and along will cost like #500 to get to Wuse II from Apo. If you're a <s>wicked</s> skillful pricer, you can get a drop to take you there with like #600.</div>",9:22pm,Feb-18,2019
"<div class=""narrow"">So i can finally book space here!! <img src=""https://www.nairaland.com/faces/cry.gif"" alt=""cry"" border=""0"" class=""faces""><br>Chukwu TanSa! <br><br>IELTS.. ECA.. ITA.. PPR... declared!!!  <img src=""https://www.nairaland.com/faces/cool.png"" alt=""cool"" border=""0"" class=""faces""></div>",9:25pm,Feb-18,2019
"<div class=""narrow"">This land has been reserved for the announcement of PPR...please stay clear.</div>",9:25pm,Feb-18,2019
"<div class=""narrow"">Good Evening house, please need help in confirming my CRS score and possible advice from everyone<br>Profile below<br>24yrs single<br>Bsc degree <br>Assuming an IELTS score of 8777<br>One year NYSC service as job experience<br><br>I calculated the CRS score and I got 404 (though I'm not sure if I did it right) <br><br>What is the added advantage if I go for a master's degree? <b>More points for educational qualification</b><br>Or is it better if I start learning French for TEF? <b>If you think it worths it</b><br><br>(I have no knowledge presently).<br>Which school in Nigeria can I get Msc in the shortest possible time? <b>For me i think NOUN </b><br><br>In all, you can romance the CRS tool with all this listed credentials you have to see for yourself sir</div>",9:30pm,Feb-18,2019
"<div class=""narrow"">I'll announce my PPR in APRIL 2019 on this part insha allah</div>",9:34pm,Feb-18,2019
"<div class=""narrow""><blockquote><a href=""/post/75870394""><b>Ocon</b></a>:<br><br>Anyone to the rescue</blockquote>You did it right, your score is 404.<br>You could do professional exams like CIPM or CIMA and get two or more certificates. This will bring your score to 437, much better chance of getting ITA. Add in French or a sibling and you're good to go.<br>If you have time, I'd advice you go for Masters because that one is more certain. WES might stop professional certificate evaluation tomorrow, who knows?</div>",9:34pm,Feb-18,2019
"<div class=""narrow"">Space booked. PPR loading.</div>",9:34pm,Feb-18,2019
"<div class=""narrow"">This is the part I announce my ITA in Jesus name. Amen.</div>",9:42pm,Feb-18,2019
